Country/Region,Deaths
Afghanistan,594820
Albania,310382
Algeria,743381
Andorra,28671
Angola,98242
Antigua and Barbuda,3063
Argentina,10200295
Armenia,654380
Australia,243863
Austria,1395879
Azerbaijan,576980
Bahamas,39919
Bahrain,103700
Bangladesh,2041423
Barbados,5368
Belarus,415862
Belgium,5626059
Belize,48815
Benin,16321
Bhutan,115
Bolivia,2622168
Bosnia and Herzegovina,948654
Botswana,46862
Brazil,60861891
Brunei,1063
Bulgaria,1720985
Burkina Faso,31757
Burma,530372
Burundi,736
Cabo Verde,31075
Cambodia,1629
Cameroon,165914
Canada,5020400
Central African Republic,19939
Chad,36806
Chile,4966659
China,2004359
Colombia,11785118
Comoros,15578
Congo (Brazzaville),31983
Congo (Kinshasa),143968
Costa Rica,513547
Cote d'Ivoire,48455
Croatia,832929
Cuba,67787
Cyprus,35693
Czechia,3183607
Denmark,447556
Diamond Princess,5401
Djibouti,21739
Dominica,0
Dominican Republic,748415
Ecuador,4008893
Egypt,2441431
El Salvador,374521
Equatorial Guinea,26878
Eritrea,933
Estonia,101945
Eswatini,88779
Ethiopia,511557
Fiji,525
Finland,180847
France,19813229
Gabon,22683
Gambia,34322
Georgia,511827
Germany,11036334
Ghana,124504
Greece,1071387
Grenada,120
Guatemala,1354186
Guinea,25435
Guinea-Bissau,13891
Guyana,41940
Haiti,70851
Holy See,0
Honduras,919455
Hungary,2516190
Iceland,7212
India,37009228
Indonesia,6469916
Iran,13672667
Iraq,3300911
Ireland,947658
Israel,1001965
Italy,22651880
Jamaica,82394
Japan,1270464
Jordan,857624
Kazakhstan,720966
Kenya,402209
"Korea, South",294630
Kosovo,324175
Kuwait,273191
Kyrgyzstan,383259
Laos,0
Latvia,212205
Lebanon,656817
Lesotho,35578
Liberia,26488
Libya,387827
Liechtenstein,7695
Lithuania,444925
Luxembourg,123919
MS Zaandam,794
Madagascar,80535
Malawi,136170
Malaysia,176774
Maldives,13653
Mali,75566
Malta,51279
Marshall Islands,0
Mauritania,87508
Mauritius,4098
Mexico,37057016
Micronesia,0
Moldova,811169
Monaco,3441
Mongolia,1830
Montenegro,174273
Morocco,1578169
Mozambique,82827
Namibia,71007
Nepal,442301
Netherlands,3690496
New Zealand,9108
Nicaragua,49437
Niger,37926
Nigeria,434368
North Macedonia,607260
Norway,147641
Oman,373936
Pakistan,3009511
Panama,1138209
Papua New Guinea,5106
Paraguay,610700
Peru,11416120
Philippines,2572141
Poland,7025115
Portugal,2377297
Qatar,76421
Romania,3831589
Russia,15286961
Rwanda,35468
Saint Kitts and Nevis,0
Saint Lucia,4817
Saint Vincent and the Grenadines,775
Samoa,0
San Marino,21228
Sao Tome and Principe,6645
Saudi Arabia,1667638
Senegal,157432
Serbia,778611
Seychelles,1598
Sierra Leone,25114
Singapore,10386
Slovakia,953915
Slovenia,574828
Solomon Islands,0
Somalia,64694
South Africa,8756848
South Sudan,21475
Spain,16924231
Sri Lanka,64633
Sudan,421838
Suriname,35907
Sweden,2950698
Switzerland,1898513
Syria,177419
Taiwan*,3063
Tajikistan,27048
Tanzania,7844
Thailand,26654
Timor-Leste,59
Togo,20086
Trinidad and Tobago,30225
Tunisia,1183791
Turkey,5637130
US,107764977
Uganda,56600
Ukraine,4884504
United Arab Emirates,244267
United Kingdom,25474727
Uruguay,118489
Uzbekistan,151912
Vanuatu,12
Venezuela,281977
Vietnam,9178
West Bank and Gaza,348237
Yemen,202847
Zambia,171894
Zimbabwe,194517
