Country,Reported Full Vacs
Afghanistan,55624.0
Albania,228756.0
Algeria,0.0
Andorra,4702.0
Angola,75215.0
Anguilla,4424.0
Antigua and Barbuda,2581.0
Argentina,2103964.0
Armenia,0.0
Aruba,37324.0
Australia,0.0
Austria,1129198.0
Azerbaijan,808878.0
Bahamas,0.0
Bahrain,657975.0
Bangladesh,3816088.0
Barbados,47132.0
Belarus,150000.0
Belgium,1438285.0
Belize,9504.0
Benin,0.0
Bermuda,31251.0
Bhutan,0.0
Bolivia,291739.0
Bonaire Sint Eustatius and Saba,1665.0
Bosnia and Herzegovina,34162.0
Botswana,0.0
Brazil,17722720.0
Brunei,862.0
Bulgaria,458248.0
Cambodia,1335645.0
Cameroon,1782.0
Canada,1486018.0
Cape Verde,2673.0
Cayman Islands,34305.0
Central African Republic,0.0
Chile,7586547.0
China,0.0
Colombia,2958890.0
Comoros,1835.0
Congo,15645.0
Costa Rica,530018.0
Cote d'Ivoire,0.0
Croatia,341008.0
Cuba,0.0
Curacao,51635.0
Cyprus,121886.0
Czechia,1139403.0
Democratic Republic of Congo,0.0
Denmark,1101045.0
Djibouti,495.0
Dominica,14678.0
Dominican Republic,825594.0
Ecuador,379621.0
Egypt,238020.0
El Salvador,431149.0
England,17651934.0
Equatorial Guinea,45129.0
Estonia,184859.0
Eswatini,0.0
Ethiopia,0.0
Faeroe Islands,7824.0
Falkland Islands,1775.0
Fiji,0.0
Finland,307106.0
France,9300413.0
French Polynesia,33891.0
Gabon,3849.0
Gambia,0.0
Georgia,15077.0
Germany,9901626.0
Ghana,0.0
Gibraltar,36258.0
Greece,1709388.0
Greenland,7664.0
Grenada,5775.0
Guatemala,2535.0
Guernsey,13618.0
Guinea,66866.0
Guinea-Bissau,0.0
Guyana,2800.0
Honduras,5687.0
Hong Kong,824151.0
Hungary,2814805.0
Iceland,73205.0
India,41076994.0
Indonesia,9276187.0
Iran,350212.0
Iraq,0.0
Ireland,514808.0
Isle of Man,18155.0
Israel,5106932.0
Italy,9241064.0
Jamaica,0.0
Japan,2340313.0
Jersey,38890.0
Jordan,385142.0
Kazakhstan,802090.0
Kenya,0.0
Kosovo,0.0
Kuwait,38000.0
Kyrgyzstan,6010.0
Laos,88483.0
Latvia,142471.0
Lebanon,210156.0
Lesotho,0.0
Liberia,0.0
Libya,0.0
Liechtenstein,5804.0
Lithuania,479639.0
Luxembourg,87857.0
Macao,50723.0
Madagascar,0.0
Malawi,0.0
Malaysia,890829.0
Maldives,149435.0
Mali,13064.0
Malta,152581.0
Mauritania,0.0
Mauritius,8464.0
Mexico,11131624.0
Moldova,35469.0
Monaco,12975.0
Mongolia,685189.0
Montenegro,34758.0
Montserrat,616.0
Morocco,4673903.0
Mozambique,74557.0
Myanmar,854211.0
Namibia,3780.0
Nauru,0.0
Nepal,426510.0
Netherlands,1989047.0
New Caledonia,35630.0
New Zealand,152933.0
Nicaragua,0.0
Niger,6514.0
Nigeria,0.0
North Macedonia,33831.0
Northern Cyprus,51434.0
Northern Ireland,575059.0
Norway,611661.0
Oman,73269.0
Pakistan,964227.0
Palestine,196153.0
Panama,292685.0
Papua New Guinea,0.0
Paraguay,33815.0
Peru,818181.0
Philippines,786528.0
Poland,4794334.0
Portugal,1451138.0
Qatar,910547.0
Romania,2972379.0
Russia,10144832.0
Rwanda,0.0
Saint Helena,3528.0
Saint Kitts and Nevis,4107.0
Saint Lucia,17301.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
San Marino,18595.0
Sao Tome and Principe,0.0
Saudi Arabia,0.0
Scotland,1704388.0
Senegal,0.0
Serbia,1845829.0
Seychelles,61631.0
Sierra Leone,6716.0
Singapore,1440544.0
Sint Maarten (Dutch part),10817.0
Slovakia,705034.0
Slovenia,306256.0
Solomon Islands,3479.0
Somalia,0.0
South Africa,558170.0
South Korea,1273210.0
South Sudan,0.0
Spain,7469173.0
Sri Lanka,300121.0
Sudan,85662.0
Suriname,2525.0
Sweden,1032637.0
Switzerland,1236827.0
Syria,0.0
Taiwan,0.0
Tajikistan,0.0
Thailand,892245.0
Timor,0.0
Togo,0.0
Tonga,1349.0
Trinidad and Tobago,1179.0
Tunisia,205900.0
Turkey,11455389.0
Turkmenistan,9753.0
Turks and Caicos Islands,10000.0
Tuvalu,0.0
Uganda,0.0
Ukraine,48070.0
United Arab Emirates,3836521.0
United Kingdom,20870453.0
United States,125453423.0
Uruguay,961943.0
Uzbekistan,286317.0
Venezuela,0.0
Vietnam,28852.0
Wales,939072.0
Wallis and Futuna,3854.0
Yemen,0.0
Zambia,0.0
Zimbabwe,239128.0
