Country/Region,Recovered
Afghanistan,11975357
Albania,10629990
Algeria,16599409
Andorra,1807691
Angola,2984212
Antigua and Barbuda,78943
Argentina,358704557
Armenia,31493921
Australia,6590355
Austria,72493478
Azerbaijan,38212461
Bahamas,1432630
Bahrain,26578406
Bangladesh,113547054
Barbados,316897
Belarus,50558220
Belgium,3797810
Belize,1756532
Benin,977347
Bhutan,141803
Bolivia,38488119
Bosnia and Herzegovina,19124373
Botswana,3846267
Brazil,1940434364
Brunei,59960
Bulgaria,32308229
Burkina Faso,1676099
Burma,20492315
Burundi,176437
Cabo Verde,2904671
Cambodia,196812
Cameroon,7581780
Canada,138055232
Central African Republic,921165
Chad,644998
Chile,184296468
China,36718085
Colombia,390731877
Comoros,421483
Congo (Brazzaville),1455731
Congo (Kinshasa),4233829
Costa Rica,29948766
Cote d'Ivoire,7300300
Croatia,37960312
Cuba,7008059
Cyprus,1442237
Czechia,164889708
Denmark,31735230
Diamond Princess,274551
Djibouti,1918621
Dominica,23397
Dominican Republic,38090013
Ecuador,51944535
Egypt,32482064
El Salvador,10919795
Equatorial Guinea,1441709
Eritrea,342462
Estonia,8037777
Eswatini,2431062
Ethiopia,24907707
Fiji,13059
Finland,7305672
France,59181644
Gabon,3080362
Gambia,897774
Georgia,39329267
Germany,364366796
Ghana,17126148
Greece,15845305
Grenada,24001
Guatemala,33700437
Guinea,3777242
Guinea-Bissau,621302
Guyana,1395093
Haiti,2399602
Holy See,4684
Honduras,13212895
Hungary,45497482
Iceland,1447008
India,2328991497
Indonesia,183194662
Iran,266822610
Iraq,136915311
Ireland,8516086
Israel,119557948
Italy,388045389
Jamaica,2445683
Japan,62296199
Jordan,60343379
Kazakhstan,50321337
Kenya,16920084
"Korea, South",14784090
Kosovo,10585396
Kuwait,41848524
Kyrgyzstan,18144168
Laos,10592
Latvia,9640940
Lebanon,41568091
Lesotho,577829
Liberia,428108
Libya,19379645
Liechtenstein,386572
Lithuania,24381605
Luxembourg,9035789
MS Zaandam,1057
Madagascar,4990654
Malawi,3125477
Malaysia,35867725
Maldives,3694211
Mali,1307579
Malta,3244313
Marshall Islands,624
Mauritania,3199509
Mauritius,172036
Mexico,310464218
Micronesia,94
Moldova,31308395
Monaco,261255
Mongolia,637577
Montenegro,10433374
Morocco,83571173
Mozambique,6261087
Namibia,5840538
Nepal,50454512
Netherlands,2580805
New Zealand,712977
Nicaragua,1170837
Niger,758262
Nigeria,24295521
North Macedonia,15521878
Norway,4728305
Oman,33310695
Pakistan,124706481
Panama,55062169
Papua New Guinea,252300
Paraguay,23182079
Peru,274261275
Philippines,114082890
Poland,239788055
Portugal,98937912
Qatar,43500014
Romania,124100309
Russia,669086948
Rwanda,2569700
Saint Kitts and Nevis,9015
Saint Lucia,327192
Saint Vincent and the Grenadines,126361
Samoa,294
San Marino,606901
Sao Tome and Principe,345160
Saudi Arabia,103313372
Senegal,5844853
Serbia,735730
Seychelles,315163
Sierra Leone,639255
Singapore,18485687
Slovakia,32876895
Slovenia,24896324
Solomon Islands,2033
Somalia,1044156
South Africa,268795207
South Sudan,1049468
Spain,57048487
Sri Lanka,10495460
Sudan,4196081
Suriname,1664134
Sweden,0
Switzerland,59413983
Syria,1582333
Taiwan*,232646
Tajikistan,3349912
Tanzania,67786
Thailand,3383485
Timor-Leste,34091
Togo,1072890
Trinidad and Tobago,1431441
Tunisia,27746553
Turkey,432547304
US,496971828
Uganda,3657932
Ukraine,182912589
United Arab Emirates,63721173
United Kingdom,1916337
Uruguay,8584108
Uzbekistan,18553534
Vanuatu,171
Venezuela,27392036
Vietnam,413898
West Bank and Gaza,29139545
Yemen,422750
Zambia,10174297
Zimbabwe,4615427
